#,Open Time,Type,Lots,Symbol,Price,Stop/Loss,Take Profit,Close Time,Close Price,Profit,Comment,MagicNumber
81741903,2018.02.14 20:00,0,0.02,NZDUSD,0.73467,0.72982,0.8323,2018.02.15 11:22,0.73983,10.32,bbMacd- long 0.02 on NZDUSD,20180112
81741904,2018.02.14 20:00,0,0.02,EURUSD,1.24187,1.23594,1.36026,2018.02.15 11:21,1.24933,14.92,bbMacd- long 0.02 on EURUSD,20180112
81741910,2018.02.14 20:00,1,0.03,USDCHF,0.92999,0.93456,0.83922,2018.02.15 11:22,0.92453,17.72,IchimokuV1.0- short on USDCHF,20170909
81741911,2018.02.14 20:00,0,0.02,EURAUD,1.57302,1.56558,1.72182,2018.02.15 11:22,1.57034,-4.26,HA_SMA-long on strategy_2,20180207
81741916,2018.02.14 20:00,0,0.02,NZDCAD,0.9222,0.91739,1.0184,2018.02.15 11:22,0.92313,1.49,HA_SMA-long on strategy_2,20180207
81743478,2018.02.14 21:00,0,0.02,GOLD,1353,1343.26,1548.22,2018.02.15 11:22,1353.8,1.6,IchimokuV1.0- long on GOLD,20170909
81745764,2018.02.15 00:00,0,0.02,NZDUSD,0.73713,0.73199,0.83552,2018.02.15 11:22,0.73988,5.5,IchimokuV1.0- long on NZDUSD,20170909
81745766,2018.02.15 00:00,0,0.02,NZDUSD,0.73713,0.73199,0.83552,2018.02.15 11:22,0.73988,5.5,HA_SMA-long on strategy_2,20180207
81745767,2018.02.15 00:00,0,0.03,EURCAD,1.55661,1.55055,1.67781,2018.02.15 11:22,1.55883,5.34,HA_SMA-long on strategy_2,20180207
81745768,2018.02.15 00:00,0,0.02,EURUSD,1.24528,1.24604,1.36528,2018.02.15 11:22,1.24936,8.16,HA_SMA-long on strategy_2,20180207
81745770,2018.02.15 00:00,0,0.02,EURUSD,1.24528,1.24603,1.36528,2018.02.15 11:22,1.24937,8.18,HA_SMA-long on strategy_2,20180207
81745771,2018.02.15 00:00,0,0.02,EURUSD,1.24528,1.24603,1.36528,2018.02.15 11:22,1.24938,8.2,HA_SMA-long on strategy_2,20180207
81745772,2018.02.15 00:00,0,0.02,EURUSD,1.24529,1.23929,1.36529,2018.02.15 11:22,1.24934,8.1,IchimokuV1.0- long on EURUSD,20170909
81766172,2018.02.15 16:00,0,0.01,GBPUSD,1.40793,1.40023,1.56214,2018.02.16 06:26,1.41356,5.63,to #81784134,20170909
81780037,2018.02.16 04:00,0,0.02,AUDUSD,0.79436,0.78903,0.90096,2018.02.16 12:38,0.79667,4.62,IchimokuV1.0- long on AUDUSD,20170909
81784134,2018.02.15 16:00,0,0.01,GBPUSD,1.40793,1.40023,1.56214,2018.02.16 09:26,1.41218,4.25,from #81766172,20170909
81788621,2018.02.16 08:00,0,0.03,AUDUSD,0.79721,0.79179,0.90561,2018.02.16 12:39,0.79667,-1.62,bbMacd- long 0.03 on AUDUSD,20180112
81794233,2018.02.16 12:00,1,0.02,USDCAD,1.24581,1.25096,1.14281,2018.02.16 15:11,1.25099,-8.28,IchimokuV1.0- short on USDC[sl],20170909
81794241,2018.02.16 12:00,1,0.05,USDCAD,1.24592,1.25098,1.14283,2018.02.16 15:11,1.25099,-20.26,bbMacd - short 0.05 on USDC[sl],20180112
81795899,2018.02.16 13:00,0,0.02,GOLD,1359.05,1350.17,1536.44,2018.02.16 20:53,1350.1,-17.9,bbMacd- long 0.02 on GOLD[sl],20180112
81800431,2018.02.16 16:00,1,0.02,USDJPY,106.151,106.808,93.011,2018.02.19 12:00,106.618,-8.76,HA_SMA-short on strategy_2,20180207
81800434,2018.02.16 16:00,1,0.02,USDCHF,0.92481,0.92972,0.82661,2018.02.19 04:00,0.92673,-4.14,HA_SMA-short on strategy_2,20180207
81800447,2018.02.16 16:00,1,0.02,GBPJPY,148.888,149.88,128.985,2018.02.20 11:41,149.908,-19.04,HA_SMA-short on strategy_2[sl],20180207
81800478,2018.02.16 16:00,1,0.02,CADCHF,0.73776,0.74116,0.66976,2018.02.19 09:25,0.74116,-7.31,HA_SMA-short on strategy_2[sl],20180207
81800479,2018.02.16 16:00,1,0.02,CADJPY,84.699,85.253,73.619,2018.02.20 12:00,85.091,-7.31,HA_SMA-short on strategy_2,20180207
81805587,2018.02.16 20:00,1,0.02,EURNZD,1.68125,1.68015,1.52565,2018.02.20 16:38,1.68016,1.6,HA_SMA-short on strategy_2[sl],20180207
81805588,2018.02.16 20:00,1,0.02,EURJPY,131.94,132.738,115.98,2018.02.21 03:28,132.738,-14.83,HA_SMA-short on strategy_2[sl],20180207
81805589,2018.02.16 20:00,1,0.02,EURCHF,1.15164,1.15561,1.07203,2018.02.20 16:00,1.15401,-5.06,HA_SMA-short on strategy_2,20180207
